,Company_Brand,Sector,Stage,Amount($),HeadQuarter,Year
0,TheCollegeFever,Commerce,Pre-series A,250000.0,Bangalore,2018
1,Happy Cow Dairy,Agriculture,Pre-series A,588000.0,Mumbai,2018
2,MyLoanCare,Finance,Series A,955500.0,Gurgaon,2018
3,PayMe India,Finance,Angel Round,2000000.0,Noida,2018
4,Hasura,Technology,Pre-series A,1600000.0,Bangalore,2018
5,Tripshelf,Commerce,Pre-series A,235200.0,New Delhi,2018
6,Hyperdata.IO,Business Intelligence,Angel Round,735000.0,Hyderabad,2018
7,Pitstop,Transport,Pre-series A,1470000.0,Bangalore,2018
8,Mihuru,Finance,Pre-series A,150000.0,Mumbai,2018
9,Fyle,Finance,Pre-series A,1100000.0,Bangalore,2018
10,Antariksh Waste Ventures Pvt ltd,Business Intelligence,Pre-series A,7350.0,Chennai,2018
11,Cogoport,Transport,Series A,6000000.0,Mumbai,2018
12,PaisaDukan,Finance,Pre-series A,650000.0,Mumbai,2018
13,Sleepy Owl Coffee,Food & Beverages,Pre-series A,514500.0,New Delhi,2018
14,BlueJack,Transport,Pre-series A,940800.0,New Delhi,2018
15,Pando,Transport,Pre-series A,2000000.0,Chennai,2018
16,Mintifi,Finance,Pre-series A,2000000.0,Mumbai,2018
17,Carcrew,Transport,Pre-series A,2000000.0,Mumbai,2018
18,Chariot Tech,Telecommunications,Pre-series A,294000.0,New Delhi,2018
19,Ideal Insurance Brokers/ 121Policy.com,Finance,Pre-series A,1000000.0,Kolkata,2018
20,Mojro Technologies,Transport,Pre-series A,650000.0,Bangalore,2018
21,Elemential,Finance,Pre-series A,1000000.0,Mumbai,2018
22,Loadshare,Transport,Series A,5000000.0,Bangalore,2018
23,Yumlane,Food & Beverages,Series A,4000000.0,Mumbai,2018
24,Kriger Campus,Education,Pre-series A,441000.0,New Delhi,2018
25,Pipa+Bella,Beauty & Fashion,Series A,1000000.0,Mumbai,2018
26,Kaleidofin,Finance,Pre-series A,2800000.0,Chennai,2018
27,IndigoLearn,Education,Pre-series A,150000.0,Hyderabad,2018
28,UClean,Energy,Pre-series A,588000.0,Haryana,2018
29,Coutloot,Beauty & Fashion,Pre-series A,1000000.0,Mumbai,2018
30,Letstrack,Technology,Pre-series A,1700000.0,New Delhi,2018
31,Finzy,Finance,Pre-series A,1300000.0,Bangalore,2018
32,Fitternity,LifeStyle,Pre-series A,2000000.0,Mumbai,2018
33,Tolet for Students,Hospitality,Pre-series A,73500.0,Jodhpur,2018
34,Chai Kings,Food & Beverages,Pre-series A,294000.0,Chennai,2018
35,Dainik Jagran,Media & Entertainment,Pre-series A,588000.0,Kannur,2018
36,Playtoome,Media & Entertainment,Pre-series A,294000.0,Bangalore,2018
37,ONGO Framework,Business Intelligence,Angel Round,1000000.0,Hyderabad,2018
38,Notesgen,Education,Pre-series A,183750.0,New Delhi,2018
39,Arogya MedTech,Health,Pre-series A,220500.0,Kolkata,2018
40,Propshop24,Commerce,Pre-series A,500000.0,Mumbai,2018
41,myUpchar,LifeStyle,Series A,5000000.0,New Delhi,2018
42,Rooter,Sports,Pre-series A,661500.0,New Delhi,2018
43,ZestMoney,Finance,Series A,13400000.0,Bangalore,2018
44,MyDentistChoice,Health,Pre-series A,500000.0,Hyderabad,2018
45,Sensibull,Finance,Pre-series A,367500.0,Bangalore,2018
46,MedCords,LifeStyle,Pre-series A,388080.0,Pune,2018
47,Enakshi,Beauty & Fashion,Pre-series A,117600.0,Ahmedabad,2018
48,Ultraviolette Automotive,Transport,Series A,882.0,Bangalore,2018
49,Inthree Access,Business Intelligence,Series A,4000000.0,Chennai,2018
50,BUGWORKS Research India,Commerce,Series A,9000000.0,Bangalore,2018
51,PrestLoans,Finance,Pre-series A,100000.0,New Delhi,2018
52,Wimoxez,Technology,Pre-series A,20000.0,Hyderabad,2018
53,HappyEMI,Finance,Pre-series A,1000000.0,Bangalore,2018
54,Hansel.io,Technology,Series A,4000000.0,Bangalore,2018
55,Propelld,Finance,Pre-series A,250000.0,Bangalore,2018
56,ZiffyHomes,Commerce,Pre-series A,120000.0,New Delhi,2018
57,Carmesi,Health,Pre-series A,499800.0,Gurgaon,2018
58,Racetrack,Media & Entertainment,Pre-series A,5027400.0,Bangalore,2018
59,WHR,Health,Pre-series A,143145.0,Pune,2018
60,FabAlley,Beauty & Fashion,Series B,8820000.0,Noida,2018
61,SBI Life,Finance,Equity,742000000.0,Mumbai,2018
62,Studds Accessories,Commerce,Equity,14700000.0,Faridabad,2018
63,Design Cafe,LifeStyle,Series B,29400000.0,Bangalore,2018
64,NoPaperForms Solutions Pvt. Ltd.,Business Intelligence,Series B,3980000.0,New Delhi,2018
65,AuthMetrik,Commerce,Grant,10000.0,Gurgaon,2018
66,LetsTransport,Transport,Series B,14700000.0,Bangalore,2018
67,Next Digital Solutions,Commerce,Angel Round,1470.0,Kota,2018
68,Portea Medical,Hospitality,Debt,3675000.0,Bangalore,2018
69,Aavas Financiers,Finance,Debt,29400000.0,Jaipur,2018
70,Swiggy,Food & Beverages,Series H,1000000000.0,Bangalore,2018
71,Milkbasket,Food & Beverages,Series A,7000000.0,Haryana,2018
72,Toppr,Business Intelligence,Series C,35000000.0,Mumbai,2018
73,Be U Salons,Beauty & Fashion,Pre-series A,441000.0,New Delhi,2018
74,Impact Guru,Finance,Series A,2000000.0,Mumbai,2018
75,MobiKwik,Finance,Series E,3528000.0,Gurgaon,2018
76,DataTrained,Education,Pre-series A,1764000.0,Bangalore,2018
77,OneAssist,Finance,Debt,2400000.0,Mumbai,2018
78,Satin Creditcare Network Limited (SCNL),Finance,Debt,30000000.0,New Delhi,2018
79,APAC Financial Services,Finance,Equity,36750000.0,Mumbai,2018
80,Moglix,Commerce,Series C,23000000.0,Noida,2018
81,Shop101,Commerce,Series B,11000000.0,Mumbai,2018
82,FeedMyPockets,Business Intelligence,Pre-series A,646800.0,Bangalore,2018
83,Housejoy,Beauty & Fashion,Series B,3240000.0,Bangalore,2018
84,FoodBuddy,Food & Beverages,Pre-series A,882000.0,Belgaum,2018
85,Ninjacart,Business Intelligence,Series B,36750000.0,Bangalore,2018
86,BYJU’S,Education,Equity,540000000.0,Bangalore,2018
87,PerkFinance,Finance,Pre-series A,900000.0,Bangalore,2018
88,Roposo,Business Intelligence,Series C,10000000.0,Gurgaon,2018
89,OTO Capital,Transport,Pre-series A,735000.0,Mumbai,2018
90,Boodmo,Transport,Pre-series A,1029000.0,Gurgaon,2018
91,HalaPlay Technologies,Sports,Series A,5000000.0,Bangalore,2018
92,PlanetSpark,Education,Pre-series A,235200.0,Gurgaon,2018
93,Forum for Innovation Incubation Research and Entrepreneurship,Finance,Grant,1506750.0,Margao,2018
94,OYO,Hospitality,Series E,100000000.0,Gurgaon,2018
95,Quikr,Commerce,Debt,8085000.0,Bangalore,2018
96,LearnApp,Finance,Pre-series A,294000.0,Noida,2018
97,Articbot,Technology,Grant,17640.0,Kannur,2018
98,BuildSupply,Business Intelligence,Series A,3675000.0,Gurgaon,2018
99,Fusion Microfinance,Finance,Series E,76440000.0,New Delhi,2018
100,Guiddoo World,Hospitality,Pre-series A,800000.0,Mumbai,2018
101,UnoTag,Technology,Pre-series A,100000.0,Bangalore,2018
102,CivilCops,Government,Pre-series A,100000.0,Gurgaon,2018
103,artbandhu,Media & Entertainment,Pre-series A,15000.0,Bangalore,2018
104,Survaider,Business Intelligence,Pre-series A,500000.0,Bangalore,2018
105,Credy,Finance,Pre-series A,1400000.0,Bangalore,2018
106,iChamp,Education,Pre-series A,5000000.0,Gurgaon,2018
107,Qandle,Technology,Pre-series A,1200000.0,Gurgaon,2018
108,Avishkaar Box,Education,Pre-series A,735000.0,New Delhi,2018
109,HyperXchange,Commerce,Series A,1000000.0,Pune,2018
110,Doodhwala,Food & Beverages,Pre-series A,2200000.0,Bangalore,2018
111,DronaHQ,Technology,Angel Round,500000.0,Mumbai,2018
112,FastFox,Real Estate,Series A,1470000.0,Gurgaon,2018
113,Colive.in,Commerce,Pre-series A,1800000.0,Bangalore,2018
114,Agricxlab Private Limited,Commerce,Pre-series A,500000.0,Thane,2018
115,Fincash.com,Finance,Pre-series A,150000.0,Mumbai,2018
116,Pandorum Technologies,Health,Series A,3600000.0,Bangalore,2018
117,Shirsa Labs,LifeStyle,Pre-series A,500000.0,Mumbai,2018
118,PetSutra,Health,Pre-series A,139650.0,Gurgaon,2018
119,PinkBlue,Business Intelligence,Pre-series A,300000.0,Bangalore,2018
120,Eduvanz,Finance,Angel Round,500000.0,Mumbai,2018
121,Rupeek,Finance,Series A,6830000.0,Bangalore,2018
122,Backpacker Panda Holidays Private Limited,Hospitality,Series A,1400000.0,Pune,2018
123,Shape (School Health and Physical Education),Education,Pre-series A,200000.0,Pune,2018
124,Placio,Hospitality,Pre-series A,2000000.0,Noida,2018
125,Aviom India Housing Finance,Finance,Series A,2205000.0,New Delhi,2018
126,HeyHolidays,Hospitality,Pre-series A,1000000.0,Bangalore,2018
127,Pratilipi,Media & Entertainment,Series A,4300000.0,Bangalore,2018
128,Silversparro Technologies Pvt. Ltd,Business Intelligence,Pre-series A,300000.0,Gurgaon,2018
129,Emflux Motors,Transport,Pre-series A,364846.0,Bangalore,2018
130,Tricog Health Services Pvt Ltd,Business Intelligence,Series A,4000000.0,Bangalore,2018
131,Scapic,Technology,Pre-series A,500000.0,Bangalore,2018
132,6Degree,Beauty & Fashion,Pre-series A,400000.0,Mumbai,2018
133,Ekincare,Health,Series A,1500000.0,Hyderabad,2018
134,Groww,Finance,Pre-series A,120000.0,Kormangala,2018
135,Chezuba,Business Intelligence,Angel Round,20580.0,Hyderabad,2018
136,Wealthtrust,Finance,Pre-series A,500000.0,Mumbai,2018
137,Awign Enterprises,Business Intelligence,Pre-series A,735000.0,Bangalore,2018
138,Hubhopper,Sports,Series A,500000.0,New Delhi,2018
139,Rubix108 Technologies,Technology,Pre-series A,1000000.0,Pune,2018
140,Workflexi,Business Intelligence,Pre-series A,147000.0,Bangalore,2018
141,Streak,Finance,Pre-series A,330750.0,Bangalore,2018
142,Kuants,Finance,Pre-series A,73500.0,Gurgaon,2018
143,NiYO Solutions,Finance,Series A,13200000.0,Bangalore,2018
144,Simulanis,LifeStyle,Pre-series A,500000.0,New Delhi,2018
145,MY CHIRAAG CAB,Hospitality,Pre-series A,1000000.0,Jaipur,2018
146,True Elements,Food & Beverages,Pre-series A,735000.0,Pune,2018
147,Trendlyne Technologies,Finance,Pre-series A,200000.0,Bangalore,2018
148,Planys Technologies,Energy,Series A,2060940.0,Chennai,2018
149,HealthPlix,LifeStyle,Series A,3000000.0,Bangalore,2018
150,Entropik Technology,Education,Pre-series A,1100000.0,Bangalore,2018
151,myHQ,Business Intelligence,Series A,500000.0,New Delhi,2018
152,Kidovators (by GyanLab),Education,Pre-series A,180000.0,Bangalore,2018
153,Log 9 Materials,Technology,Pre-series A,441000.0,Uttar Pradesh,2018
154,VTION,Business Intelligence,Pre-series A,282240.0,Gurgaon,2018
